,0
0,de
1,a
2,o
3,que
4,e
5,é
6,do
7,da
8,em
9,um
10,para
11,com
12,não
13,uma
14,os
15,no
16,se
17,na
18,por
19,mais
20,as
21,dos
22,como
23,mas
24,ao
25,ele
26,das
27,à
28,seu
29,sua
30,ou
31,quando
32,muito
33,nos
34,já
35,eu
36,também
37,só
38,pelo
39,pela
40,até
41,isso
42,ela
43,entre
44,depois
45,sem
46,mesmo
47,aos
48,seus
49,quem
50,nas
51,me
52,esse
53,eles
54,você
55,essa
56,num
57,nem
58,suas
59,meu
60,às
61,minha
62,numa
63,pelos
64,elas
65,qual
66,nós
67,lhe
68,deles
69,essas
70,esses
71,pelas
72,este
73,dele
74,tu
75,te
76,vocês
77,vos
78,lhes
79,meus
80,minhas
81,teu
82,tua
83,teus
84,tuas
85,nosso
86,nossa
87,nossos
88,nossas
89,dela
90,delas
91,esta
92,estes
93,estas
94,aquele
95,aquela
96,aqueles
97,aquelas
98,isto
99,aquilo
100,estou
101,está
102,estamos
103,estão
104,estive
105,esteve
106,estivemos
107,estiveram
108,estava
109,estávamos
110,estavam
111,estivera
112,estivéramos
113,esteja
114,estejamos
115,estejam
116,estivesse
117,estivéssemos
118,estivessem
119,estiver
120,estivermos
121,estiverem
122,hei
123,há
124,havemos
125,hão
126,houve
127,houvemos
128,houveram
129,houvera
130,houvéramos
131,haja
132,hajamos
133,hajam
134,houvesse
135,houvéssemos
136,houvessem
137,houver
138,houvermos
139,houverem
140,houverei
141,houverá
142,houveremos
143,houverão
144,houveria
145,houveríamos
146,houveriam
147,sou
148,somos
149,são
150,era
151,éramos
152,eram
153,fui
154,foi
155,fomos
156,foram
157,fora
158,fôramos
159,seja
160,sejamos
161,sejam
162,fosse
163,fôssemos
164,fossem
165,for
166,formos
167,forem
168,serei
169,será
170,seremos
171,serão
172,seria
173,seríamos
174,seriam
175,tenho
176,tem
177,temos
178,tém
179,tinha
180,tínhamos
181,tinham
182,tive
183,teve
184,tivemos
185,tiveram
186,tivera
187,tivéramos
188,tenha
189,tenhamos
190,tenham
191,tivesse
192,tivéssemos
193,tivessem
194,tiver
195,tivermos
196,tiverem
197,terei
198,terá
199,teremos
200,terão
201,teria
202,teríamos
203,teriam
