,Word,Frequency,Classification
1184,"('ex', 'presid')",1332,FAKE
510,"('lav', 'jat')",1098,FAKE
1103,"('michel', 'tem')",563,FAKE
2894,"('quart', 'feir')",537,FAKE
37505,"('core', 'nort')",512,FAKE
85,"('terc', 'feir')",471,FAKE
1216,"('tribun', 'feder')",460,FAKE
1215,"('supr', 'tribun')",458,FAKE
395,"('quint', 'feir')",445,FAKE
3466,"('lul', 'silv')",438,FAKE
3885,"('segund', 'feir')",429,FAKE
1102,"('presid', 'michel')",418,FAKE
3464,"('luiz', 'inaci')",417,FAKE
3465,"('inaci', 'lul')",416,FAKE
509,"('operaca', 'lav')",412,FAKE
3776,"('sext', 'feir')",400,FAKE
608,"('ministeri', 'publ')",398,FAKE
9,"('polic', 'feder')",386,FAKE
92,"('nest', 'quart')",355,FAKE
3463,"('presid', 'luiz')",346,FAKE
523,"('sergi', 'mor')",343,FAKE
743,"('est', 'unid')",340,FAKE
84,"('nest', 'terc')",312,FAKE
491,"('ex', 'ministr')",287,FAKE
1261,"('geral', 'republ')",283,FAKE
1217,"('feder', 'stf')",281,FAKE
1456,"('nest', 'quint')",264,FAKE
1186,"('dilm', 'rousseff')",246,FAKE
9499,"('nest', 'segund')",246,FAKE
24054,"('cliqu', 'aqu')",234,FAKE
810,"('lav', 'dinh')",223,FAKE
5912,"('publ', 'feder')",218,FAKE
7846,"('nest', 'sext')",215,FAKE
37515,"('nort', 'core')",203,FAKE
96,"('rio', 'jan')",199,FAKE
327,"('ano', 'pass')",194,FAKE
1099,"('red', 'soc')",194,FAKE
5860,"('juiz', 'feder')",189,FAKE
804,"('donald', 'trump')",188,FAKE
3766,"('presid', 'lul')",185,FAKE
1260,"('procur', 'geral')",178,FAKE
3960,"('presid', 'cam')",176,FAKE
1355,"('delaca', 'premi')",174,FAKE
522,"('juiz', 'sergi')",172,FAKE
2561,"('corrupca', 'passiv')",170,FAKE
5873,"('tribun', 'region')",169,FAKE
34898,"('bem', 'inform')",168,FAKE
36967,"('dia', 'bem')",166,FAKE
36966,"('aqu', 'princip')",165,FAKE
34894,"('princip', 'notic')",163,FAKE
4263,"('manh', 'dest')",162,FAKE
5874,"('region', 'feder')",156,FAKE
1797,"('procurad', 'geral')",153,FAKE
1213,"('gilm', 'mend')",147,FAKE
5875,"('feder', 'regia')",146,FAKE
